"Home","主页"
"News","新闻"
"Projects","项目"
"Articles","文章"
"Download","下载中心"
"Contact","联系我们"
"Recruit","人才招聘"
"Develop","人才发展"
"Service","服务指南"
"Policy","政策制度"
"Recruit","人才招聘"
"Archives","归档"
"Friendly Link","友情链接"
"Postdoctor","博士后"
"Works","工作动态"
"Inform","通知公告"
"Group","人才队伍"
"Overview","概况"
"Edit Article","文章编辑"
"Limits","权限管理"
"Reports","查看申请"
"Slide Option","首页轮播"
"Download Info","下载管理"
"Create time", "发布时间"
"Change time", "修改时间"
